sample,autosomal_callable_bp
4512-JFI-0354_BXD199_phased_possorted_bam,2136326646.30615
4512-JFI-0472_BXD125_RwwJ_phased_possorted_bam,2140144350.4551039
4512-JFI-0464_BXD12_TyJ_phased_possorted_bam,2150559742.8429847
4512-JFI-0371_BXD225_phased_possorted_bam,2142988771.951979
4512-JFI-0452_BXD184_phased_possorted_bam,2125344685.0050223
4512-JFI-0478_BXD39_TyJ_phased_possorted_bam,2132531581.8737776
4512-JFI-0488_BXD226_phased_possorted_bam,2147457426.8368921
4512-JFI-0404_BXD222_phased_possorted_bam,2149027185.9702373
4512-JFI-0351_BXD201_phased_possorted_bam,2134313397.53234
4512-JFI-0367_BXD131_phased_possorted_bam,2145832495.6717672
4512-JFI-0447_BXD53_2RwwJ_phased_possorted_bam,2109766439.75947
4512-JFI-0485_BXD194_redo_phased_possorted_bam,2140999151.5713801
4512-JFI-0462_BXD68_RwwJ_phased_possorted_bam,2140030959.577837
4512-JFI-0365_BXD113_RwwJ_phased_possorted_bam,2138819011.958943
4512-JFI-0382_BXD048a_RwwJ_phased_possorted_bam,2141130856.6607966
4512-JFI-0429_BXD85_RwwJ_phased_possorted_bam,2141852567.4177191
4512-JFI-0444_BXD79_RwwJ_phased_possorted_bam,2116705829.6403937
4512-JFI-0356_BXD034_TyJ_phased_possorted_bam,2144644838.8182015
4512-JFI-0439_BXD73a_RwwJ_phased_possorted_bam,2128312778.0877266
4512-JFI-0465_BXD60_RwwJ_phased_possorted_bam,2149625289.498058
4512-JFI-0492_BXD128_phased_possorted_bam,2147948882.76615
4512-JFI-0341_BXD149_phased_possorted_bam,2142620318.343942
4512-JFI-0445_BXD095_RwwJ_phased_possorted_bam,2092247658.6591322
4512-JFI-0407_BXD20_TyJ_phased_possorted_bam,2150449528.832287
4512-JFI-0388_BXD65b_RwwJ_phased_possorted_bam,2139449669.3706477
4512-JFI-0373_BXD150_phased_possorted_bam,2124462948.0788405
4512-JFI-0456_BXD161_RwwJ_phased_possorted_bam,2137555529.3489215
4512-JFI-0390_BXD218_phased_possorted_bam,2131249120.3258328
4512-JFI-0409_BXD195_phased_possorted_bam,2150392867.9426737
4512-JFI-0349_BXD55_RwwJ_phased_possorted_bam,2144341618.49951
4512-JFI-0396_BXD219_phased_possorted_bam,2138825771.1615555
4512-JFI-0477_BXD18_TyJ_phased_possorted_bam,2135090779.0499747
4512-JFI-0376_BXD224_phased_possorted_bam,2118400850.6380258
4512-JFI-0426_BXD169_phased_possorted_bam,2136343490.0177567
4512-JFI-0474_BXD006_TyJ_phased_possorted_bam,2137784648.6491392
4512-JFI-0466_BXD168_phased_possorted_bam,2145283996.142658
4512-JFI-0411_BXD223_phased_possorted_bam,2145052810.056066
4512-JFI-0442_BXD66_RwwJ_phased_possorted_bam,2118539094.9471767
4512-JFI-0345_BXD098_RwwJ_phased_possorted_bam,2134961223.4533277
4512-JFI-0370_BXD205_phased_possorted_bam,2143239228.521044
4512-JFI-0355_BXD152_phased_possorted_bam,2141189747.03333
4512-JFI-0467_BXD122_TyJ_phased_possorted_bam,2144579257.850839
4512-JFI-0418_BXD137_phased_possorted_bam,2144006756.012772
4512-JFI-0459_BXD114_phased_possorted_bam,2108817557.2213807
4512-JFI-0380_BXD172_phased_possorted_bam,2134112715.0188477
4512-JFI-0342_BXD178_phased_possorted_bam,2141986223.3831172
4512-JFI-0400_BXD69_RwwJ_phased_possorted_bam,2143336886.5217988
4512-JFI-0363_BXD44_RwwJ_phased_possorted_bam,2141315454.0892093
4512-JFI-0413_BXD89_RwwJ_phased_possorted_bam,2139729343.7061493
4512-JFI-0455_BXD88_2_RwwJ_phased_possorted_bam,2152992689.6505904
4512-JFI-0441_BXD181_phased_possorted_bam,2104135316.8913314
4512-JFI-0377_BXD62_RwwJ_phased_possorted_bam,2118780226.869062
4512-JFI-0381_BXD48_RwwJ_phased_possorted_bam,2130172133.8561666
4512-JFI-0482_BXD087_RwwJ_phased_possorted_bam,2142037813.136107
4512-JFI-0473_BXD217_phased_possorted_bam,2136054057.5933385
4512-JFI-0379_BXD77_RwwJ_phased_possorted_bam,2137303681.8488574
4512-JFI-0353_BXD180_phased_possorted_bam,2135239484.9758625
4512-JFI-0419_BXD050_RwwJ_phased_possorted_bam,2137014942.0390203
4512-JFI-0434_BXD183_phased_possorted_bam,2145761946.407691
4512-JFI-0450_BXD141_phased_possorted_bam,2110621494.2792873
4512-JFI-0471_BXD42_TyJ_phased_possorted_bam,2146166147.4576893
4512-JFI-0359_BXD211_phased_possorted_bam,2141437309.749674
4512-JFI-0408_BXD051_RwwJ_phased_possorted_bam,2141879323.3328319
4512-JFI-0438_BXD073_RwwJ_phased_possorted_bam,2095206371.6247075
4512-JFI-0374_BXD154_RwwJ_phased_possorted_bam,2137450120.2925985
4512-JFI-0431_BXD123_phased_possorted_bam,2145059314.9334977
4512-JFI-0458_BXD14_TyJ_phased_possorted_bam,2142464170.8302064
4512-JFI-0406_BXD102_RwwJ_phased_possorted_bam,2147408217.578288
4512-JFI-0343_BXD202_phased_possorted_bam,2138654214.4049299
4512-JFI-0392_BXD15_TyJ_phased_possorted_bam,2138996552.962329
4512-JFI-0453_BXD038_TyJ_phased_possorted_bam,2145104045.3701165
4512-JFI-0361_BXD001_TyJ_phased_possorted_bam,2137607885.0808966
4512-JFI-0402_BXD173_phased_possorted_bam,2144037166.1522398
4512-JFI-0346_BXD028_TyJ_phased_possorted_bam,2134021150.5558996
4512-JFI-0398_BXD191_phased_possorted_bam,2142130509.840226
4512-JFI-0448_BXD175_phased_possorted_bam,2062195536.9739687
4512-JFI-0393_BXD016_TyJ_phased_possorted_bam,2140017784.006376
4512-JFI-0403_BXD086_RwwJ_phased_possorted_bam,2144963696.7729807
4512-JFI-0350_BXD22_TyJ_phased_possorted_bam,2142605071.4618316
4512-JFI-0457_BXD151_phased_possorted_bam,2150543050.6294184
4512-JFI-0395_BXD090_RwwJ_phased_possorted_bam,2136091622.781386
4512-JFI-0475_BXD101_RwwJ_phased_possorted_bam,2128894892.8124225
4512-JFI-0433_BXD71_RwwJ_phased_possorted_bam,2142933530.7966816
4512-JFI-0437_BXD170_phased_possorted_bam,2097476949.1319296
4512-JFI-0427_BXD160_phased_possorted_bam,2146651732.3974123
4512-JFI-0399_BXD63_RwwJ_phased_possorted_bam,2138231395.0256393
4512-JFI-0410_BXD013_TyJ_phased_possorted_bam,2139642849.1431425
4512-JFI-0364_BXD031_TyJ_phased_possorted_bam,2145844379.7762825
4512-JFI-0405_BXD210_phased_possorted_bam,2147250314.1311023
4512-JFI-0491_BXD213_phased_possorted_bam,2142666356.6636658
4512-JFI-0360_BXD227_phased_possorted_bam,2142263949.6801777
4512-JFI-0422_BXD198_phased_possorted_bam,2149302646.838783
4512-JFI-0397_BXD049_RwwJ_phased_possorted_bam,2141252604.6885421
4512-JFI-0461_BXD61_RwwJ_phased_possorted_bam,2143756296.9322393
4512-JFI-0383_BXD009_TyJ_phased_possorted_bam,2131979432.771974
4512-JFI-0358_BXD40_TyJ_phased_possorted_bam,2145044772.7179453
4512-JFI-0463_BXD83_RwwJ_phased_possorted_bam,2139201942.3711276
4512-JFI-0468_BXD209_phased_possorted_bam,2147604404.806619
4512-JFI-0386_BXD65_RwwJ_phased_possorted_bam,2136279083.2153487
4512-JFI-0417_BXD148_phased_possorted_bam,2141316303.2765803
4512-JFI-0391_BXD157_phased_possorted_bam,2145479074.3796418
4512-JFI-0372_BXD008_TyJ_phased_possorted_bam,2135669332.6400473
4512-JFI-0421_BXD056_RwwJ_phased_possorted_bam,2141043351.8358424
4512-JFI-0412_BXD190_phased_possorted_bam,2147670635.9839725
4512-JFI-0375_BXD221_phased_possorted_bam,2113881663.9460685
4512-JFI-0425_BXD187_phased_possorted_bam,2137385537.0416174
4512-JFI-0420_BXD78_2_RwwJ_phased_possorted_bam,2146430857.893135
4512-JFI-0344_BXD29_Ty_phased_possorted_bam,2142037058.7408252
4512-JFI-0484_BXD171_phased_possorted_bam,2144096217.6481118
4512-JFI-0454_BXD124_RwwJ_phased_possorted_bam,2145155346.8344836
4512-JFI-0480_BXD204_phased_possorted_bam,2140973114.346891
4512-JFI-0436_BXD99_RwwJ_phased_possorted_bam,2140952819.536324
4512-JFI-0489_BXD43_RwwJ_phased_possorted_bam,2150008255.6193767
4512-JFI-0369_BXD036_TyJ_phased_possorted_bam,2143069871.9352012
4512-JFI-0345_BXD029_Tlr4_J_phased_possorted_bam,2143134911.6022558
4512-JFI-0387_BXD65a_RwwJ_phased_possorted_bam,2138098029.9737947
4512-JFI-0414_BXD91_RwwJ_phased_possorted_bam,2139764737.898545
4512-JFI-0415_BXD032_TyJ_phased_possorted_bam,2135663292.6246347
4512-JFI-0483_BXD064_RwwJ_phased_possorted_bam,2141951687.9864337
4512-JFI-0435_BXD84_RwwJ_phased_possorted_bam,2144755531.4429526
4512-JFI-0432_BXD21_TyJ_phased_possorted_bam,2144341780.2698858
4512-JFI-0430_BXD002_RwwJ_phased_possorted_bam,2147016777.0765193
4512-JFI-0481_BXD19_TyJ_phased_possorted_bam,2137670864.000682
4512-JFI-0446_BXD74_RwwJ_phased_possorted_bam,2086679741.7739437
4512-JFI-0460_BXD67_RwwJ_phased_possorted_bam,2135635175.206169
4512-JFI-0366_BXD196_phased_possorted_bam,2139479464.4719129
4512-JFI-0428_BXD176_phased_possorted_bam,2149595234.111406
4512-JFI-0368_BXD011_TyJ_phased_possorted_bam,2144306432.6399362
4512-JFI-0490_BXD177_phased_possorted_bam,2145004859.516114
4512-JFI-0416_BXD186_phased_possorted_bam,2142089835.6512928
4512-JFI-0476_BXD215_phased_possorted_bam,2113726981.3967
4512-JFI-0357_BXD156_phased_possorted_bam,2144146981.3331304
4512-JFI-0479_BXD197_phased_possorted_bam,2121118777.8466742
4512-JFI-0348_BXD24_TyJ_Cep290_J_phased_possorted_bam,2141861983.9951193
4512-JFI-0424_BXD111_phased_possorted_bam,2144703027.0371437
4512-JFI-0362_BXD155_phased_possorted_bam,2142082142.6829782
4512-JFI-0443_BXD216_phased_possorted_bam,2123000617.9596374
4512-JFI-0378_BXD70_RwwJ_phased_possorted_bam,2128456336.2384331
4512-JFI-0401_BXD127_phased_possorted_bam,2145938121.4713964
4512-JFI-0352_BXD144_phased_possorted_bam,2145086071.850178
4512-JFI-0347_BXD024_TyJ_phased_possorted_bam,2136614806.1226685
4512-JFI-0487_BXD81_RwwJ_phased_possorted_bam,2141411686.9204853
4512-JFI-0486_BXD045_RwwJ_phased_possorted_bam,2142635419.8625956
4512-JFI-0385_BXD174_phased_possorted_bam,2134197867.2967434
4512-JFI-0423_BXD75_RwwJ_phased_possorted_bam,2138808339.3726082
4512-JFI-0389_BXD5_TyJ_phased_possorted_bam,2142094834.8763833
4512-JFI-0494_BXD147_phased_possorted_bam,2142220603.6973484
4512-JFI-0469_BXD100_RwwJ_phased_possorted_bam,2143758037.0746505
4512-JFI-0449_BXD214_phased_possorted_bam,2097375537.086188
4512-JFI-0394_BXD162_phased_possorted_bam,2145020765.7399907
4512-JFI-0470_BXD27_TyJ_phased_possorted_bam,2144836420.7273285
4512-JFI-0440_BXD073b_RwwJ_phased_possorted_bam,2111487012.681442
4512-JFI-0451_BXD33_TyJ_phased_possorted_bam,2049815679.0120668
